Country/Region,Cars,Commercial vehicles,Total,% change
Argentina,203700,268458,472158,-0.13
Australia,88195,10437,98632,-38.85
Austria,81000,18880,99880,-8.98
Belgium,336000,43140,379140,-5.08
Brazil,2269468,430204,2699672,25.2
Canada,749458,1450331,2199789,-7.21
China,24806687,4208747,29015434,3.19
Czech Rep.,1413881,6112,1419993,0
Egypt,9970,26670,36640,1.13
Finland,91598,0,91598,90.83
France,1748000,479000,2227000,6.54
Germany,5645581,0,5645581,-1.76
Hungary,502000,3400,505400,-4.01
India,3952550,830346,4782896,5.83
Indonesia,982356,234259,1216615,3.3
Iran,1418550,96846,1515396,18.19
Italy,742642,399568,1142210,3.53
Japan,8347836,1345910,9693746,5.31
Malaysia,424880,35260,460140,-15.62
Morocco,341802,34484,376826,9
Mexico,1900029,2168386,4068415,13
Netherlands,155000,2280,157280,74.97
Poland,514700,175029,689729,1.16
Portugal,126426,49118,175544,22.68
Romania,359240,10,359250,-0.02
Russia,1348029,203264,1551293,19.01
Serbia,79360,552,79912,-0.51
Slovakia,1001520,0,1001520,-3.7
Slovenia,189852,0,189852,42
South Africa,321358,268593,589951,-1.51
South Korea,3735399,379514,4114913,-2.69
Spain,2291492,556843,2848335,-1.3
Sweden,226000,0,226000,10.04
Taiwan,230356,61207,291563,-5.8
Thailand,818440,1170383,1988823,2.28
Turkey,1142906,552825,1695731,14.12
Ukraine,7296,2246,9542,81.27
UK,1671166,78219,1749385,-3.70
USA,3033216,8156769,11189985,-8.13
Uzbekistan,140247,0,140247,59.10
Others,536725,221947,758672,16
