COUNTRY/REGION,CARS,COMMERCIAL VEHICLES,TOTAL,% CHANGE
ARGENTINA,304 783,305 942,610 725,14%
AUSTRIA,102 291,11 900,114 191,-6%
BELGIUM,285 159,46 944,332 103,16%
BRAZIL,1 781 612,543 226,2 324 838,-2%
CANADA,376 888,1 176 138,1 553 026,26%
CHINA,26 123 757,4 037 209,30 160 966,12%
CZECH REPUBLIC,1 397 816,6 685,1 404 501,15%
FINLAND,30 191,30 191,-59%
FRANCE,1 026 690,478 386,1 505 076,9%
GERMANY,4 109 371,4 109 371,18%
HUNGARY,507 225,507 225,15%
INDIA,4 783 628,1 067 879,5 851 507,7%
INDONESIA,1 180 355,215 362,1 395 717,-5%
ITALY,541 953,338 132,880 085,11%
JAPAN,7 765 428,1 232 012,8 997 440,15%
KAZAKHSTAN,134 054,12 935,146 989,30%
MALAYSIA,724 891,49 709,774 600,10%
MOROCCO,471 950,63 875,535 825,15%
MEXICO,903 753,3 098 294,4 002 047,14%
POLAND,299 300,313 582,612 882,27%
PORTUGAL,243 201,75 030,318 231,-1%
ROMANIA,513 050,513 050,1%
RUSSIA,526 439,203 425,729 864,20%
SLOVAKIA,1 080 000,1 080 000,10%
SLOVENIA,60 881,60 881,-11%
SOUTH AFRICA,336 980,296 357,633 337,14%
SOUTH KOREA,3 908 747,334 850,4 243 597,13%
SPAIN,1 907 050,544 171,2 451 221,10%
TAIWAN,221 329,64 633,285 962,10%
THAILAND,580 857,1 260 806,1 841 663,-2%
TURKEY,952 667,515 726,1 468 393,9%
UKRAINE,1 993,1 993,34%
UNITED KINGDOM,905 117,120 357,1 025 474,17%
USA,1 745 171,8 866 384,10 611 555,6%
UZBEKISTAN,421 414,4 462,425 876,25%
OTHERS,877 579,1 128 618,2 006 197
TOTAL,67 133 570,26 413 029,93 546 599,10%


